model,Age,price,transmission,mileage,fuelType,tax,mpg,engineSize
 2 Series,5,10600,Manual,24313,Diesel,0,74.3,1.5
 2 Series,6,9100,Manual,40789,Diesel,0,74.3,1.5
 3 Series,4,12600,Automatic,66743,Diesel,30,67.3,2
 5 Series,5,13600,Automatic,65612,Diesel,30,62.8,2
 1 Series,5,11700,Manual,21390,Diesel,20,72.4,1.5
 3 Series,4,12450,Automatic,72065,Diesel,20,70.6,2
 5 Series,5,13500,Automatic,62444,Diesel,125,60.1,2
 X3,8,12750,Automatic,71558,Diesel,160,50.4,2
 X1,4,16700,Automatic,34666,Diesel,145,65.7,2
 1 Series,5,11400,Manual,22920,Diesel,20,72.4,1.5
 X5,5,21000,Automatic,71626,Other,0,85.6,2
 X1,4,14700,Manual,38405,Diesel,145,68.9,2
 3 Series,3,19000,Automatic,20681,Diesel,145,64.2,2
 3 Series,4,15400,Automatic,20529,Diesel,145,65.7,2
 X3,5,19000,Automatic,42691,Diesel,145,54.3,2
 1 Series,3,15000,Automatic,10058,Petrol,145,37.2,1.5
 3 Series,5,17950,Automatic,40337,Diesel,145,53.3,3
 5 Series,3,22600,Automatic,23195,Diesel,145,65.7,2
 1 Series,4,13200,Manual,17117,Petrol,145,53.3,1.5
 3 Series,4,12750,Manual,22153,Diesel,150,68.9,2
 3 Series,6,9750,Manual,56038,Diesel,20,68.9,2
 3 Series,4,10900,Automatic,78345,Diesel,0,74.3,2
 X4,5,21400,Automatic,31084,Diesel,145,54.3,2
 1 Series,4,14600,Automatic,5615,Petrol,145,58.9,1.5
 3 Series,4,12600,Automatic,55751,Petrol,150,51.4,1.5
 X4,4,22500,Automatic,35016,Diesel,150,54.3,2
 1 Series,5,8000,Manual,81579,Diesel,0,83.1,1.5
 X1,4,14800,Manual,31518,Diesel,145,60.1,2
 1 Series,5,9900,Manual,44008,Diesel,0,83.1,1.5
 2 Series,5,9500,Manual,59509,Diesel,20,68.9,2
 3 Series,4,17950,Automatic,43703,Other,140,134.5,2
 1 Series,5,14200,Automatic,36858,Diesel,125,60.1,2
 1 Series,5,12100,Automatic,25786,Diesel,0,74.3,2
 1 Series,5,12700,Automatic,24592,Diesel,20,68.9,2
 1 Series,5,8800,Manual,51002,Diesel,0,83.1,1.5
 1 Series,4,15000,Automatic,26052,Diesel,145,68.9,2
 3 Series,4,17100,Automatic,31528,Diesel,145,64.2,2
 X3,4,21750,Automatic,25776,Diesel,200,47.9,3
 1 Series,5,13400,Manual,18055,Petrol,125,52.3,1.5
 3 Series,7,9900,Automatic,63223,Diesel,20,68.9,2
 1 Series,5,13700,Manual,8719,Petrol,125,52.3,1.5
 4 Series,3,16900,Automatic,27133,Petrol,145,44.8,2
 5 Series,3,21950,Automatic,21947,Diesel,150,68.9,2
 X1,8,8750,Manual,80625,Diesel,160,51.4,2
 3 Series,4,17000,Automatic,31501,Other,0,134.5,2
 1 Series,5,13750,Automatic,8707,Petrol,30,55.5,1.5
 1 Series,4,12800,Manual,10861,Petrol,125,53.3,1.5
 4 Series,4,16000,Manual,16359,Petrol,145,46.3,2
 4 Series,4,16600,Automatic,46913,Diesel,145,65.7,2
 3 Series,4,15100,Manual,37747,Diesel,125,60.1,2
 4 Series,4,16750,Manual,24882,Petrol,145,46.3,2
 1 Series,6,12450,Manual,24474,Petrol,125,52.3,1.5
 3 Series,3,15700,Automatic,29394,Petrol,145,48.7,2
 5 Series,5,12600,Manual,59528,Diesel,125,60.1,2
 2 Series,5,14600,Manual,15577,Petrol,160,44.1,2
 X1,5,13700,Manual,52226,Diesel,20,68.9,2
 3 Series,4,16900,Automatic,12330,Diesel,30,64.2,2
 4 Series,6,15998,Semi-Auto,62943,Diesel,30,65.7,2
 X1,1,31498,Semi-Auto,1560,Diesel,145,60.1,2
 2 Series,1,27998,Manual,1580,Petrol,150,43.5,1.5
 X5,1,54998,Semi-Auto,1500,Diesel,150,37.7,3
 3 Series,7,11998,Manual,11545,Petrol,165,44.8,2
 2 Series,1,25998,Automatic,3160,Hybrid,140,113,1.5
 1 Series,1,31998,Semi-Auto,1560,Diesel,150,48.7,2
 X2,1,29998,Manual,1850,Diesel,150,49.6,2
 X4,2,33998,Semi-Auto,7272,Diesel,150,42.8,2
 X4,2,33998,Semi-Auto,7272,Diesel,150,42.8,2
 1 Series,4,14995,Manual,19866,Diesel,30,65.7,2
 4 Series,5,17995,Semi-Auto,22476,Petrol,145,48.7,2
 1 Series,8,14498,Semi-Auto,42786,Petrol,235,37.7,3
 1 Series,6,10998,Manual,42410,Diesel,30,65.7,2
 5 Series,7,11998,Semi-Auto,60681,Diesel,125,57.6,2
 X1,5,14498,Manual,57717,Diesel,125,58.9,2
 3 Series,4,16998,Semi-Auto,8096,Petrol,145,51.4,2
 1 Series,6,11498,Manual,49151,Diesel,30,62.8,2
 X6,4,29498,Semi-Auto,40429,Diesel,200,47.1,3
 M4,5,31498,Semi-Auto,21107,Petrol,300,34,3
 1 Series,5,19498,Semi-Auto,33043,Petrol,200,39.8,3
 X1,5,17998,Semi-Auto,50378,Diesel,125,57.6,2
 5 Series,2,25998,Semi-Auto,11115,Diesel,145,65.7,2
 X1,8,8298,Manual,69020,Diesel,125,57.6,2
 8 Series,2,61898,Semi-Auto,2650,Diesel,145,39.8,3
 1 Series,7,13298,Manual,55834,Petrol,300,35.3,3
 3 Series,2,21898,Semi-Auto,5761,Diesel,150,55.4,2
 1 Series,4,11498,Semi-Auto,47110,Diesel,0,78.5,1.5
 X3,7,17495,Semi-Auto,54075,Diesel,145,54.3,2
 5 Series,6,14998,Semi-Auto,45152,Diesel,30,62.8,2
 2 Series,7,10498,Manual,52091,Diesel,125,58.9,2
 1 Series,2,19998,Semi-Auto,4812,Petrol,145,47.9,2
 X1,5,16698,Semi-Auto,37272,Petrol,160,44.8,2
 3 Series,2,27998,Semi-Auto,4250,Diesel,145,48.7,2
 5 Series,3,27798,Semi-Auto,15711,Diesel,145,60.1,3
 1 Series,5,18298,Manual,21236,Petrol,260,36.2,3
 1 Series,4,14698,Semi-Auto,24008,Petrol,145,55.5,1.5
 X1,5,18498,Semi-Auto,25994,Diesel,145,55.4,2
 X5,6,27998,Automatic,24188,Diesel,200,47.1,3
 X5,6,21498,Automatic,59216,Diesel,200,47.9,3
 1 Series,4,19498,Manual,21171,Petrol,260,36.2,3
 1 Series,4,14498,Manual,24259,Petrol,145,52.3,1.5
 5 Series,4,22998,Semi-Auto,19379,Diesel,145,65.7,2
 1 Series,4,14498,Manual,20790,Diesel,145,70.6,1.5
 5 Series,2,29898,Semi-Auto,2743,Diesel,145,60.1,2
 3 Series,2,22998,Semi-Auto,6000,Petrol,145,48.7,2
 3 Series,2,29998,Manual,3980,Diesel,145,53.3,2
 4 Series,2,29898,Semi-Auto,101,Diesel,145,60.1,2
 5 Series,4,20498,Semi-Auto,12725,Diesel,145,68.9,2
 3 Series,2,27650,Semi-Auto,18200,Diesel,150,48.7,2
 Z4,5,18650,Semi-Auto,25300,Petrol,205,41.5,2
 4 Series,3,22995,Automatic,7200,Petrol,145,48.7,2
 X6,3,36995,Semi-Auto,6100,Diesel,145,47.1,3
 5 Series,3,26995,Automatic,6800,Diesel,145,68.9,2
 1 Series,8,11995,Manual,31600,Diesel,125,57.6,2
 5 Series,3,25995,Semi-Auto,8700,Diesel,145,49.6,2
 X6,5,29995,Automatic,43600,Diesel,200,44.8,3
 3 Series,3,21495,Semi-Auto,16452,Petrol,150,48.7,2
 5 Series,4,22998,Automatic,15838,Diesel,145,60.1,2
 5 Series,2,34498,Automatic,6775,Diesel,145,51.4,3
 1 Series,2,18498,Semi-Auto,11234,Diesel,145,68.9,2
 7 Series,2,45898,Semi-Auto,5893,Diesel,145,44.1,3
 X3,2,37898,Semi-Auto,9781,Diesel,145,48.7,3
 X5,5,34498,Automatic,17303,Hybrid,0,85.6,2
 1 Series,5,17998,Manual,25334,Petrol,300,35.3,3
 3 Series,5,18498,Semi-Auto,36501,Diesel,145,53.3,3
 2 Series,2,23998,Semi-Auto,2318,Petrol,145,47.9,2
 X1,4,21498,Semi-Auto,14418,Diesel,145,55.4,2
 X1,4,18500,Semi-Auto,12160,Diesel,145,65.7,2
 X3,3,31000,Semi-Auto,20290,Diesel,145,48.7,3
 X1,5,19500,Semi-Auto,13690,Diesel,125,57.6,2
 X5,4,34000,Automatic,22158,Diesel,205,47.1,3
 X5,6,28000,Automatic,36174,Diesel,205,47.1,3
 3 Series,3,22000,Semi-Auto,30000,Diesel,150,53.3,3
 1 Series,5,16000,Manual,40125,Petrol,305,35.3,3
 3 Series,4,18000,Manual,20087,Petrol,165,44.8,2
 X7,1,78000,Semi-Auto,5000,Diesel,150,31.4,3
 3 Series,3,22500,Semi-Auto,11150,Petrol,145,48.7,2
 1 Series,3,15500,Manual,5827,Petrol,145,37.7,1.5
 4 Series,2,29000,Semi-Auto,14000,Diesel,145,50.4,3
 4 Series,2,24700,Semi-Auto,5196,Diesel,145,65.7,2
 2 Series,2,24000,Semi-Auto,2500,Petrol,145,39.2,1.5
 1 Series,3,16000,Manual,7000,Diesel,145,50.4,1.5
 X3,2,56000,Semi-Auto,26,Petrol,145,24.8,3
 1 Series,2,32000,Semi-Auto,4493,Petrol,145,34.5,2
 X1,3,20000,Semi-Auto,10545,Diesel,145,60.1,2
 X1,4,22000,Semi-Auto,16500,Petrol,145,44.8,2
 3 Series,5,16998,Semi-Auto,43695,Hybrid,0,134.5,2
 X3,6,17498,Semi-Auto,48867,Diesel,145,54.3,2
 1 Series,4,15798,Semi-Auto,23157,Petrol,145,54.3,1.5
 X1,5,18998,Semi-Auto,30434,Diesel,125,57.6,2
 3 Series,6,20000,Semi-Auto,39700,Diesel,160,50.4,3
 5 Series,2,28000,Semi-Auto,5739,Diesel,145,62.8,2
 X5,4,41500,Automatic,18000,Diesel,145,42.8,3
 1 Series,3,16000,Semi-Auto,24275,Diesel,145,68.9,1.5
 4 Series,4,20800,Semi-Auto,14774,Diesel,125,58.9,2
 3 Series,3,20500,Semi-Auto,12133,Petrol,145,48.7,2
 1 Series,4,15500,Manual,15645,Petrol,125,52.3,1.5
 X4,5,25000,Semi-Auto,25085,Diesel,200,47.9,3
 1 Series,4,21500,Semi-Auto,19486,Petrol,145,39.8,3
 X2,2,30000,Semi-Auto,5431,Diesel,145,48.7,2
 7 Series,1,53000,Semi-Auto,6555,Diesel,145,42.2,3
 3 Series,7,14000,Semi-Auto,73923,Diesel,160,52.3,3
 1 Series,3,25990,Semi-Auto,6500,Petrol,150,32.5,3
 X4,3,32000,Semi-Auto,10920,Diesel,150,42.8,2
 3 Series,2,24300,Semi-Auto,8000,Petrol,150,44.8,2
 5 Series,2,33000,Semi-Auto,12250,Diesel,150,53.3,3
 X3,5,20500,Semi-Auto,37000,Diesel,145,54.3,2
 3 Series,5,19000,Semi-Auto,40500,Diesel,145,53.3,3
 3 Series,4,18000,Semi-Auto,33000,Diesel,145,60.1,2
 M4,1,51000,Semi-Auto,2000,Petrol,145,32.5,3
 X3,6,16500,Semi-Auto,48000,Diesel,145,54.3,2
 4 Series,4,19800,Manual,17410,Petrol,150,40.9,2
 1 Series,4,13500,Manual,25975,Petrol,145,53.3,1.5
 1 Series,2,18500,Semi-Auto,12054,Petrol,150,54.3,1.5
 1 Series,7,9300,Manual,51203,Diesel,30,65.7,2
 X5,2,50000,Semi-Auto,5145,Diesel,150,37.7,3
 1 Series,4,11800,Manual,23274,Diesel,20,72.4,1.5
 4 Series,3,22000,Semi-Auto,10948,Diesel,145,60.1,2
 2 Series,2,27500,Semi-Auto,7000,Petrol,145,38.2,3
 5 Series,2,28000,Semi-Auto,16000,Diesel,145,60.1,3
 2 Series,1,29000,Manual,5550,Petrol,145,43.5,1.5
 3 Series,7,16800,Semi-Auto,50687,Diesel,160,52.3,3
 3 Series,8,15500,Semi-Auto,46500,Diesel,150,55.4,3
 X1,5,19300,Semi-Auto,25300,Diesel,125,60.1,2
 1 Series,4,16998,Semi-Auto,12458,Diesel,30,62.8,2
 1 Series,4,21498,Semi-Auto,21200,Petrol,200,39.8,3
 4 Series,5,18998,Semi-Auto,20151,Diesel,145,53.3,3
 X1,4,18498,Manual,13278,Diesel,125,58.9,2
 5 Series,2,27000,Semi-Auto,9000,Petrol,145,48.7,2
 2 Series,3,18000,Semi-Auto,13174,Diesel,145,49.6,2
 7 Series,5,26000,Semi-Auto,39085,Diesel,145,54.3,3
 3 Series,4,25500,Semi-Auto,14834,Diesel,145,51.4,3
 3 Series,5,18000,Semi-Auto,15088,Diesel,145,55.4,3
 1 Series,4,16800,Semi-Auto,16761,Diesel,145,67.3,2
 3 Series,3,21300,Semi-Auto,18564,Diesel,145,60.1,2
 X2,2,29000,Semi-Auto,1418,Petrol,145,36.2,2
 3 Series,2,34000,Semi-Auto,5525,Diesel,145,50.4,2
 3 Series,4,24000,Semi-Auto,15338,Diesel,145,49.6,3
 3 Series,8,14990,Semi-Auto,35500,Diesel,145,55.4,2
 5 Series,4,30000,Semi-Auto,11086,Diesel,145,53.3,3
 1 Series,3,15800,Semi-Auto,11132,Petrol,145,55.5,1.5
 1 Series,3,16500,Semi-Auto,7656,Petrol,145,37.2,1.5
 X3,6,19500,Semi-Auto,41567,Diesel,145,54.3,2
 5 Series,2,40000,Semi-Auto,1034,Petrol,145,39.2,3
 1 Series,4,21800,Semi-Auto,20294,Petrol,200,39.8,3
 3 Series,4,20998,Semi-Auto,30422,Diesel,145,51.4,3
 3 Series,4,19698,Semi-Auto,20313,Diesel,145,56.5,3
 3 Series,5,21498,Semi-Auto,28775,Diesel,160,51.4,3
 3 Series,6,17200,Semi-Auto,6147,Petrol,145,47.9,2
 X5,8,24000,Automatic,45150,Diesel,200,45.6,3
 1 Series,2,26000,Manual,2073,Diesel,145,57.7,1.5
 4 Series,1,27000,Semi-Auto,25,Petrol,145,48.7,2
 4 Series,1,27500,Semi-Auto,25,Diesel,145,60.1,2
 X5,2,52000,Semi-Auto,6500,Diesel,145,37.7,3
 4 Series,2,32000,Semi-Auto,4025,Diesel,145,50.4,3
 2 Series,6,10498,Manual,27221,Diesel,0,74.3,1.5
 3 Series,8,9985,Manual,75561,Diesel,20,68.9,2
 X4,6,19485,Manual,53755,Diesel,160,52.3,2
 3 Series,8,9965,Semi-Auto,95043,Diesel,30,62.8,2
 X1,7,10985,Semi-Auto,56952,Diesel,160,52.3,2
 1 Series,4,13489,Semi-Auto,59066,Diesel,20,72.4,1.5
 3 Series,5,13994,Semi-Auto,46889,Diesel,30,67.3,2
 5 Series,2,35950,Semi-Auto,5137,Diesel,145,51.4,3
 4 Series,2,25490,Semi-Auto,8794,Diesel,145,60.1,2
 5 Series,2,34900,Semi-Auto,9854,Diesel,145,53.3,3
 7 Series,3,42000,Semi-Auto,7123,Diesel,145,52.3,3
 1 Series,7,12000,Manual,41500,Diesel,125,57.6,2
 1 Series,5,14000,Manual,24678,Diesel,30,65.7,2
 M4,2,48000,Semi-Auto,2258,Petrol,145,34,3
 2 Series,2,23950,Semi-Auto,4413,Diesel,145,46.3,2
 4 Series,2,26550,Semi-Auto,7292,Diesel,145,58.9,2
 X1,5,18000,Semi-Auto,46354,Diesel,125,57.6,2
 6 Series,3,27990,Semi-Auto,21525,Diesel,150,49.6,3
 1 Series,4,13450,Manual,15663,Petrol,150,53.3,1.5
 X5,4,34990,Automatic,18000,Diesel,200,47.1,3
 4 Series,1,29500,Semi-Auto,17,Diesel,145,60.1,2
 5 Series,2,28500,Semi-Auto,3816,Diesel,145,62.8,2
 5 Series,2,26000,Semi-Auto,4405,Petrol,145,48.7,2
 X2,2,27000,Manual,4825,Diesel,145,49.6,2
 4 Series,2,27000,Semi-Auto,4406,Diesel,145,60.1,2
 3 Series,2,33000,Semi-Auto,11564,Diesel,145,49.6,2
 X2,2,32000,Semi-Auto,10,Petrol,145,34,2
 5 Series,5,14495,Semi-Auto,51700,Diesel,30,65.7,2
 3 Series,8,9498,Semi-Auto,55701,Petrol,145,47.9,1.6
 1 Series,3,23498,Semi-Auto,11131,Petrol,145,39.8,3
 3 Series,1,51000,Semi-Auto,5000,Diesel,150,43.5,3
 X3,5,22000,Semi-Auto,25000,Diesel,150,54.3,2
 1 Series,4,23000,Semi-Auto,18100,Petrol,150,39.8,3
 X6,3,39990,Semi-Auto,7427,Diesel,145,40.9,3
 3 Series,4,17000,Semi-Auto,43362,Diesel,145,56.5,3
 1 Series,4,11990,Manual,18435,Petrol,125,53.3,1.5
 1 Series,2,16500,Semi-Auto,5000,Diesel,145,72.4,1.5
 X4,3,40000,Semi-Auto,4135,Diesel,145,37.2,3
 1 Series,2,27000,Semi-Auto,1214,Diesel,145,51.4,2
 M5,2,72000,Semi-Auto,3545,Petrol,145,24.1,4.4
 3 Series,4,19650,Semi-Auto,43267,Diesel,145,62.8,2
 X5,1,60990,Semi-Auto,3500,Diesel,145,33.6,3
 4 Series,2,22500,Semi-Auto,5623,Diesel,145,65.7,2
 M4,3,43500,Semi-Auto,2577,Petrol,150,34,3
 2 Series,6,18700,Semi-Auto,43617,Petrol,265,37.2,3
 X5,6,26000,Automatic,52936,Diesel,205,47.1,3
 7 Series,4,34000,Semi-Auto,25000,Diesel,150,53.3,3
 3 Series,7,15000,Semi-Auto,56000,Diesel,150,55.4,2
 3 Series,4,18300,Semi-Auto,20000,Diesel,150,62.8,2
 4 Series,6,15990,Semi-Auto,87597,Diesel,160,51.4,3
 3 Series,8,9995,Manual,74449,Petrol,200,41.5,2
 X2,2,23498,Semi-Auto,3241,Petrol,150,40.4,2
 3 Series,2,34450,Semi-Auto,3500,Diesel,145,45.6,3
 X7,2,67400,Semi-Auto,5600,Diesel,150,33.6,3
 7 Series,2,47990,Semi-Auto,7780,Petrol,145,34.5,3
 X3,1,35900,Semi-Auto,4500,Diesel,150,54.3,2
 4 Series,5,18498,Semi-Auto,24188,Diesel,145,55.4,3
 X1,4,18998,Semi-Auto,26939,Diesel,145,65.7,2
 X1,3,16995,Semi-Auto,17276,Petrol,150,46.3,1.5
 3 Series,4,20998,Semi-Auto,26252,Diesel,145,51.4,3
 3 Series,4,15998,Semi-Auto,19675,Petrol,125,51.4,2
 1 Series,2,29000,Semi-Auto,100,Diesel,150,48.7,2
 X5,2,51000,Semi-Auto,6000,Diesel,150,37.7,3
 X5,4,29945,Automatic,30207,Diesel,200,47.1,3
 5 Series,3,24595,Semi-Auto,28502,Diesel,145,65.7,2
 5 Series,7,13990,Semi-Auto,73837,Diesel,160,51.4,3
 3 Series,4,14990,Semi-Auto,48604,Diesel,30,67.3,2
 5 Series,4,22990,Semi-Auto,33492,Diesel,145,60.1,2
 5 Series,8,10495,Semi-Auto,83380,Diesel,125,57.6,2
 4 Series,3,22595,Semi-Auto,18937,Petrol,145,48.7,2
 3 Series,2,27995,Semi-Auto,2460,Diesel,145,53.3,2
 X1,5,17298,Semi-Auto,48697,Diesel,125,57.6,2
 X1,3,16995,Semi-Auto,17276,Petrol,150,46.3,1.5
 X1,4,17995,Manual,23692,Diesel,125,58.9,2
 5 Series,4,21998,Semi-Auto,25260,Diesel,145,60.1,2
 X1,4,16698,Semi-Auto,25291,Diesel,30,65.7,2
 1 Series,6,12298,Semi-Auto,37634,Diesel,30,64.2,2
 1 Series,4,13798,Manual,34446,Diesel,145,65.7,2
 1 Series,3,14000,Manual,19995,Petrol,145,37.7,1.5
 4 Series,3,24000,Manual,24848,Petrol,145,36.7,3
 M4,1,50000,Semi-Auto,700,Petrol,145,34,3
 4 Series,3,21500,Semi-Auto,4038,Petrol,150,45.6,2
 3 Series,5,22000,Semi-Auto,31250,Diesel,165,51.4,3
 5 Series,6,16000,Semi-Auto,64194,Diesel,165,51.4,3
 3 Series,6,18500,Semi-Auto,38218,Diesel,165,51.4,3
 3 Series,2,28000,Automatic,6148,Diesel,145,52.3,2
 3 Series,3,27000,Automatic,13430,Diesel,145,49.6,3
 X3,6,17000,Semi-Auto,35500,Diesel,200,47.9,3
 X3,7,14495,Semi-Auto,56787,Diesel,150,54.3,2
 1 Series,5,16200,Semi-Auto,13369,Diesel,20,68.9,1.5
 2 Series,3,19000,Semi-Auto,3764,Petrol,145,53.3,1.5
 4 Series,4,17495,Manual,13471,Petrol,145,46.3,2
 i8,5,48998,Automatic,10087,Hybrid,0,134.5,1.5
 X4,3,36000,Semi-Auto,5000,Diesel,145,40.4,3
 M4,1,43000,Semi-Auto,40,Petrol,145,34,3
 3 Series,1,40000,Semi-Auto,2000,Diesel,145,47.9,3
 7 Series,2,49000,Semi-Auto,7970,Diesel,145,44.8,3
 M2,5,31000,Semi-Auto,14712,Petrol,260,35.8,3
 X7,2,67000,Semi-Auto,4900,Diesel,145,33.6,3
 5 Series,3,30500,Semi-Auto,9671,Petrol,145,39.2,3
 2 Series,2,21500,Semi-Auto,2070,Petrol,145,40.9,1.5
 3 Series,5,19500,Semi-Auto,49104,Diesel,160,51.4,3
